Gemeinde,Year,Abschnitt,Betrag in Euro
aigen-schlägl,2016,Außerschulische Jugenerziehung,47952.73
aigen-schlägl,2016,Sport und außerschulische Leibeserziehung,45533.15
aigen-schlägl,2016,Berufsb. Unterricht,37409.36
aigen-schlägl,2016,Forschung und Wissenschaft,3782.40
aigen-schlägl,2016,Erwachsenenbildung,2500.00
aigen-schlägl,2016,Summe,1259662.78
aigen-schlägl,2017,Allgemeinbildender Unterricht,727420.24
aigen-schlägl,2017,Vorschulische Erziehung,706378.76
aigen-schlägl,2017,Sport und außerschulische Leibeserziehung,76987.98
aigen-schlägl,2017,Förderung des Unterrichtes,58672.69
aigen-schlägl,2017,Berufsb. Unterricht,45013.10
aigen-schlägl,2017,Außerschulische Jugenerziehung,40470.90
aigen-schlägl,2017,Forschung und Wissenschaft,3529.70
aigen-schlägl,2017,Erwachsenenbildung,2500.00
aigen-schlägl,2017,Summe,1660973.37
aigen-schlägl,2018,Allgemeinbildender Unterricht,3301530.48
aigen-schlägl,2018,Vorschulische Erziehung,655560.48
aigen-schlägl,2018,Förderung des Unterrichtes,56574.55
aigen-schlägl,2018,Außerschulische Jugenerziehung,42972.22
aigen-schlägl,2018,Berufsb. Unterricht,25855.13
aigen-schlägl,2018,Sport und außerschulische Leibeserziehung,20602.07
aigen-schlägl,2018,Forschung und Wissenschaft,4537.10
aigen-schlägl,2018,Erwachsenenbildung,2500.00
aigen-schlägl,2018,Summe,4110132.03
aigen-schlägl,2019,Allgemeinbildender Unterricht,3503621.32
aigen-schlägl,2019,Vorschulische Erziehung,710312.41
aigen-schlägl,2019,Förderung des Unterrichtes,67932.92
aigen-schlägl,2019,Außerschulische Jugenerziehung,57309.01
aigen-schlägl,2019,Berufsb. Unterricht,34462.84
aigen-schlägl,2019,Sport und außerschulische Leibeserziehung,15531.81
aigen-schlägl,2019,Forschung und Wissenschaft,4225.00
aigen-schlägl,2019,Erwachsenenbildung,2500.00
aigen-schlägl,2019,Summe,4395895.31
aistersheim,2007,Allgemeinbildender Unterricht,85085.57
aistersheim,2007,Vorschulische Erziehung,85004.29
aistersheim,2007,Förderung des Unterrichtes,15386.78
aistersheim,2007,Berufsb. Unterricht,7731.73
aistersheim,2007,Erwachsenenbildung,3679.73
aistersheim,2007,Sport und außerschulische Leibeserziehung,3363.95
aistersheim,2007,Forschung und Wissenschaft,360.00
aistersheim,2007,Summe,200612.05
aistersheim,2008,Allgemeinbildender Unterricht,140537.13
aistersheim,2008,Vorschulische Erziehung,74919.92
aistersheim,2008,Sport und außerschulische Leibeserziehung,18046.98
aistersheim,2008,Förderung des Unterrichtes,15272.59
aistersheim,2008,Berufsb. Unterricht,6346.00
aistersheim,2008,Erwachsenenbildung,6299.88
aistersheim,2008,Forschung und Wissenschaft,360.00
aistersheim,2008,Summe,261782.5
aistersheim,2009,Allgemeinbildender Unterricht,96188.05
aistersheim,2009,Vorschulische Erziehung,74464.69
aistersheim,2009,Förderung des Unterrichtes,15438.31
aistersheim,2009,Berufsb. Unterricht,9751.84
aistersheim,2009,Sport und außerschulische Leibeserziehung,9039.38
aistersheim,2009,Erwachsenenbildung,5268.16
aistersheim,2009,Forschung und Wissenschaft,320.00
aistersheim,2009,Summe,210470.43
aistersheim,2010,Allgemeinbildender Unterricht,92085.22
aistersheim,2010,Vorschulische Erziehung,85242.19
aistersheim,2010,Sport und außerschulische Leibeserziehung,12410.20
aistersheim,2010,Förderung des Unterrichtes,11937.03
aistersheim,2010,Berufsb. Unterricht,8924.41
aistersheim,2010,Erwachsenenbildung,4253.31
aistersheim,2010,Summe,214852.36
aistersheim,2011,Allgemeinbildender Unterricht,98357.98
aistersheim,2011,Vorschulische Erziehung,89700.34
aistersheim,2011,Förderung des Unterrichtes,9579.87
aistersheim,2011,Erwachsenenbildung,6773.66
aistersheim,2011,Berufsb. Unterricht,4248.62
aistersheim,2011,Sport und außerschulische Leibeserziehung,3767.36
aistersheim,2011,Summe,212427.83
aistersheim,2012,Allgemeinbildender Unterricht,116323.56
aistersheim,2012,Vorschulische Erziehung,104910.57
aistersheim,2012,Förderung des Unterrichtes,11927.77
aistersheim,2012,Erwachsenenbildung,5635.17
aistersheim,2012,Berufsb. Unterricht,5242.00
aistersheim,2012,Sport und außerschulische Leibeserziehung,2762.91
aistersheim,2012,Summe,246801.98
aistersheim,2013,Vorschulische Erziehung,121384.56
aistersheim,2013,Allgemeinbildender Unterricht,110206.01
aistersheim,2013,Sport und außerschulische Leibeserziehung,53717.68
aistersheim,2013,Förderung des Unterrichtes,12208.63
aistersheim,2013,Berufsb. Unterricht,7553.60
aistersheim,2013,Erwachsenenbildung,6464.16
aistersheim,2013,Summe,311534.64
aistersheim,2014,Sport und außerschulische Leibeserziehung,987959.81
aistersheim,2014,Vorschulische Erziehung,139337.94
aistersheim,2014,Allgemeinbildender Unterricht,89259.08
aistersheim,2014,Förderung des Unterrichtes,18566.34
aistersheim,2014,Berufsb. Unterricht,8943.20
aistersheim,2014,Erwachsenenbildung,4780.17
aistersheim,2014,Summe,1248846.54
aistersheim,2015,Sport und außerschulische Leibeserziehung,463772.29
aistersheim,2015,Vorschulische Erziehung,136954.41
aistersheim,2015,Allgemeinbildender Unterricht,120543.89
aistersheim,2015,Förderung des Unterrichtes,16498.68
aistersheim,2015,Berufsb. Unterricht,4891.45
aistersheim,2015,Erwachsenenbildung,4084.65
aistersheim,2015,Summe,746745.37
aistersheim,2016,Vorschulische Erziehung,183593.86
aistersheim,2016,Allgemeinbildender Unterricht,134808.63
aistersheim,2016,Förderung des Unterrichtes,14347.52
aistersheim,2016,Sport und außerschulische Leibeserziehung,7856.10
aistersheim,2016,Berufsb. Unterricht,4950.00
aistersheim,2016,Erwachsenenbildung,4850.26
aistersheim,2016,Summe,350406.37
aistersheim,2017,Vorschulische Erziehung,155320.67
aistersheim,2017,Allgemeinbildender Unterricht,119430.90
aistersheim,2017,Förderung des Unterrichtes,14417.22
aistersheim,2017,Erwachsenenbildung,7609.17
aistersheim,2017,Berufsb. Unterricht,5635.06
aistersheim,2017,Sport und außerschulische Leibeserziehung,3334.95
aistersheim,2017,Summe,305747.97
aistersheim,2018,Vorschulische Erziehung,160905.02
aistersheim,2018,Allgemeinbildender Unterricht,150245.61
aistersheim,2018,Sport und außerschulische Leibeserziehung,13110.20
aistersheim,2018,Förderung des Unterrichtes,12466.23
aistersheim,2018,Berufsb. Unterricht,6914.19
aistersheim,2018,Erwachsenenbildung,6527.40
aistersheim,2018,Summe,350168.65
aistersheim,2019,Allgemeinbildender Unterricht,337582.33
aistersheim,2019,Vorschulische Erziehung,175457.79
aistersheim,2019,Förderung des Unterrichtes,13419.27
aistersheim,2019,Berufsb. Unterricht,9885.57
aistersheim,2019,Erwachsenenbildung,5566.29
aistersheim,2019,Sport und außerschulische Leibeserziehung,2426.67
aistersheim,2019,Summe,544337.92
alkoven,2007,Vorschulische Erziehung,436204.72
alkoven,2007,Allgemeinbildender Unterricht,354005.95
alkoven,2007,Sport und außerschulische Leibeserziehung,94146.00
alkoven,2007,Berufsb. Unterricht,46601.59
alkoven,2007,Außerschulische Jugenerziehung,35021.16
alkoven,2007,Förderung des Unterrichtes,1390.50
alkoven,2007,Summe,967369.92
alkoven,2008,Vorschulische Erziehung,486434.65
alkoven,2008,Allgemeinbildender Unterricht,337789.46
alkoven,2008,Außerschulische Jugenerziehung,43903.91
alkoven,2008,Berufsb. Unterricht,38464.18
alkoven,2008,Sport und außerschulische Leibeserziehung,18841.75
alkoven,2008,Förderung des Unterrichtes,1042.46
alkoven,2008,Summe,926476.41
alkoven,2009,Vorschulische Erziehung,660094.83
alkoven,2009,Allgemeinbildender Unterricht,439923.55
alkoven,2009,Sport und außerschulische Leibeserziehung,93778.74
alkoven,2009,Berufsb. Unterricht,54942.08
alkoven,2009,Außerschulische Jugenerziehung,32636.45
alkoven,2009,Förderung des Unterrichtes,516.98
alkoven,2009,Summe,1281892.63
alkoven,2010,Allgemeinbildender Unterricht,779334.02
alkoven,2010,Vorschulische Erziehung,630891.37
alkoven,2010,Berufsb. Unterricht,41545.19
alkoven,2010,Außerschulische Jugenerziehung,36977.57
alkoven,2010,Sport und außerschulische Leibeserziehung,25039.26
alkoven,2010,Förderung des Unterrichtes,901.85
alkoven,2010,Summe,1514689.26
alkoven,2011,Allgemeinbildender Unterricht,1321908.92
alkoven,2011,Vorschulische Erziehung,667812.17
alkoven,2011,Außerschulische Jugenerziehung,51749.88
alkoven,2011,Berufsb. Unterricht,33661.50
alkoven,2011,Sport und außerschulische Leibeserziehung,14835.34
alkoven,2011,Förderung des Unterrichtes,1385.90
alkoven,2011,Summe,2091353.71
alkoven,2012,Allgemeinbildender Unterricht,1481894.88
alkoven,2012,Vorschulische Erziehung,742045.52
alkoven,2012,Außerschulische Jugenerziehung,57566.97
alkoven,2012,Berufsb. Unterricht,30039.44
alkoven,2012,Sport und außerschulische Leibeserziehung,28199.74
alkoven,2012,Förderung des Unterrichtes,1737.09
alkoven,2012,Summe,2341483.64
alkoven,2013,Allgemeinbildender Unterricht,1224195.76
alkoven,2013,Vorschulische Erziehung,845509.55
alkoven,2013,Sport und außerschulische Leibeserziehung,58342.64
alkoven,2013,Außerschulische Jugenerziehung,55230.19
alkoven,2013,Berufsb. Unterricht,28301.68
alkoven,2013,Förderung des Unterrichtes,2715.47
alkoven,2013,Summe,2214295.29
alkoven,2014,Vorschulische Erziehung,925201.42
alkoven,2014,Allgemeinbildender Unterricht,552290.46
alkoven,2014,Außerschulische Jugenerziehung,62729.56
alkoven,2014,Sport und außerschulische Leibeserziehung,46562.28
alkoven,2014,Berufsb. Unterricht,27022.90
alkoven,2014,Förderung des Unterrichtes,10148.49
alkoven,2014,Summe,1623955.11
alkoven,2015,Vorschulische Erziehung,1298578.81
alkoven,2015,Allgemeinbildender Unterricht,935715.49
alkoven,2015,Sport und außerschulische Leibeserziehung,164042.23
alkoven,2015,Außerschulische Jugenerziehung,76694.40
alkoven,2015,Förderung des Unterrichtes,71099.09
alkoven,2015,Berufsb. Unterricht,26730.43
alkoven,2015,Erwachsenenbildung,1022.04
alkoven,2015,Summe,2573882.49
alkoven,2016,Vorschulische Erziehung,1516303.68
alkoven,2016,Allgemeinbildender Unterricht,1009781.47
alkoven,2016,Förderung des Unterrichtes,112764.57
alkoven,2016,Außerschulische Jugenerziehung,46247.64
alkoven,2016,Berufsb. Unterricht,27911.36
alkoven,2016,Sport und außerschulische Leibeserziehung,24853.79
alkoven,2016,Erwachsenenbildung,1015.31
alkoven,2016,Summe,2738877.82
alkoven,2017,Vorschulische Erziehung,1746627.59
