Gemeinde,Year,View,Abschnitt,Betrag in Euro
allerheiligen-im-mühlkreis,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",374.38097457627
allerheiligen-im-mühlkreis,2013,prokopf,Summe,2586.8218644068
allerheiligen-im-mühlkreis,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",393.62776194468
allerheiligen-im-mühlkreis,2014,prokopf,Summe,2490.0819949707
allerheiligen-im-mühlkreis,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",350.78960461285
allerheiligen-im-mühlkreis,2015,prokopf,Summe,2487.158261944
allerheiligen-im-mühlkreis,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",325.73722852512
allerheiligen-im-mühlkreis,2016,prokopf,Summe,2055.9864424635
allerheiligen-im-mühlkreis,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",337.20310344828
allerheiligen-im-mühlkreis,2017,prokopf,Summe,2210.797882919
allerheiligen-im-mühlkreis,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",346.19640761301
allerheiligen-im-mühlkreis,2018,prokopf,Summe,2171.5122125297
allerheiligen-im-mühlkreis,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",351.6602734375
allerheiligen-im-mühlkreis,2019,prokopf,Summe,2166.3447421875
altenberg-bei-linz,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",205.92520329025
altenberg-bei-linz,2007,prokopf,Summe,1627.1339905993
altenberg-bei-linz,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",204.61425726336
altenberg-bei-linz,2008,prokopf,Summe,1937.8536035614
altenberg-bei-linz,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",315.65761658031
altenberg-bei-linz,2009,prokopf,Summe,1967.4694700895
altenberg-bei-linz,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",245.29870318352
altenberg-bei-linz,2010,prokopf,Summe,1839.692659176
altenberg-bei-linz,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",235.67790531178
altenberg-bei-linz,2011,prokopf,Summe,1944.708591224
altenberg-bei-linz,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",245.30063110102
altenberg-bei-linz,2012,prokopf,Summe,2044.2098728717
altenberg-bei-linz,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",265.41306802721
altenberg-bei-linz,2013,prokopf,Summe,2086.3024943311
altenberg-bei-linz,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",739.83866165071
altenberg-bei-linz,2014,prokopf,Summe,2776.1893388053
altenberg-bei-linz,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",675.54162301321
altenberg-bei-linz,2015,prokopf,Summe,2917.3164114618
altenberg-bei-linz,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",390.29932801065
altenberg-bei-linz,2016,prokopf,Summe,2410.0624506542
altenberg-bei-linz,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",478.86858215548
altenberg-bei-linz,2017,prokopf,Summe,2587.6790812721
altenberg-bei-linz,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",367.61570393147
altenberg-bei-linz,2018,prokopf,Summe,2173.9208170437
altenberg-bei-linz,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",355.05672679852
altenberg-bei-linz,2019,prokopf,Summe,2611.6481699631
altmünster,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",201.87592940685
altmünster,2007,prokopf,Summe,2499.3864880952
altmünster,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",226.65321087436
altmünster,2008,prokopf,Summe,2458.6155494909
altmünster,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",231.03351110645
altmünster,2009,prokopf,Summe,2576.1703960604
altmünster,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",221.98548265775
altmünster,2010,prokopf,Summe,2401.1512003761
altmünster,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",260.343818468
altmünster,2011,prokopf,Summe,2412.1576621196
altmünster,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",253.45608200696
altmünster,2012,prokopf,Summe,2571.1702793296
altmünster,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",240.30597822674
altmünster,2013,prokopf,Summe,2696.5025876688
altmünster,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",445.20876678114
altmünster,2014,prokopf,Summe,3145.5887990426
altmünster,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",476.74754742268
altmünster,2015,prokopf,Summe,3168.3402525773
altmünster,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",517.42348288196
altmünster,2016,prokopf,Summe,3406.4353254982
altmünster,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",385.28839901981
altmünster,2017,prokopf,Summe,3163.3013600163
altmünster,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",352.1980200143
altmünster,2018,prokopf,Summe,2658.7434504238
altmünster,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",404.97232161112
altmünster,2019,prokopf,Summe,3184.8510417093
ampflwang-im-hausruckwald,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",368.68576857629
ampflwang-im-hausruckwald,2007,prokopf,Summe,2184.5093675553
ampflwang-im-hausruckwald,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",409.55356312057
ampflwang-im-hausruckwald,2008,prokopf,Summe,2333.0550723404
ampflwang-im-hausruckwald,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",355.67176034237
ampflwang-im-hausruckwald,2009,prokopf,Summe,2339.0348473609
ampflwang-im-hausruckwald,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",392.7275495916
ampflwang-im-hausruckwald,2010,prokopf,Summe,2220.8931446908
ampflwang-im-hausruckwald,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",364.24848653396
ampflwang-im-hausruckwald,2011,prokopf,Summe,2386.7795140515
ampflwang-im-hausruckwald,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",406.99127020785
ampflwang-im-hausruckwald,2012,prokopf,Summe,2407.5639463049
ampflwang-im-hausruckwald,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",391.62932385374
ampflwang-im-hausruckwald,2013,prokopf,Summe,2266.9185403366
ampflwang-im-hausruckwald,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",423.33030223005
ampflwang-im-hausruckwald,2014,prokopf,Summe,2563.3440346244
ampflwang-im-hausruckwald,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",521.83631270167
ampflwang-im-hausruckwald,2015,prokopf,Summe,2852.6517160458
ampflwang-im-hausruckwald,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",602.58415664418
ampflwang-im-hausruckwald,2016,prokopf,Summe,2655.755588149
ampflwang-im-hausruckwald,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",686.45355575066
ampflwang-im-hausruckwald,2017,prokopf,Summe,2492.9229236172
ampflwang-im-hausruckwald,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",561.07305687204
ampflwang-im-hausruckwald,2018,prokopf,Summe,2516.9934567536
ampflwang-im-hausruckwald,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",620.84394626866
ampflwang-im-hausruckwald,2019,prokopf,Summe,2732.319119403
andorf,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",228.75792999396
andorf,2007,prokopf,Summe,1848.6143914705
andorf,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",225.10133572568
andorf,2008,prokopf,Summe,2076.4763476874
andorf,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",359.42695349762
andorf,2009,prokopf,Summe,2065.4522754372
andorf,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",264.37085617799
andorf,2010,prokopf,Summe,1962.511348828
andorf,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",332.43996243575
andorf,2011,prokopf,Summe,1935.5498853302
andorf,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",334.18987930352
andorf,2012,prokopf,Summe,2256.78580926
andorf,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",772.59651455547
andorf,2013,prokopf,Summe,2511.2803658537
andorf,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",405.73076322467
andorf,2014,prokopf,Summe,2858.5015244974
andorf,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",430.50245419103
andorf,2015,prokopf,Summe,3041.9432768031
andorf,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",375.68580814974
andorf,2016,prokopf,Summe,2507.9841138624
andorf,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",305.36677833078
andorf,2017,prokopf,Summe,2490.2877201378
andorf,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",356.59198299188
andorf,2018,prokopf,Summe,3116.2061441825
andorf,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",323.31897963105
andorf,2019,prokopf,Summe,2700.9226575711
andrichsfurt,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",206.66320936639
andrichsfurt,2007,prokopf,Summe,2086.8724655647
andrichsfurt,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",256.13178817056
andrichsfurt,2008,prokopf,Summe,1738.564002751
andrichsfurt,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",405.95515905947
andrichsfurt,2009,prokopf,Summe,1801.1185615491
andrichsfurt,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",369.35665730337
andrichsfurt,2010,prokopf,Summe,1842.0386095506
andrichsfurt,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",339.90478448276
andrichsfurt,2011,prokopf,Summe,1710.7992097701
andrichsfurt,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",282.78810126582
andrichsfurt,2012,prokopf,Summe,1505.9692686357
andrichsfurt,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",309.99164325843
andrichsfurt,2013,prokopf,Summe,1756.9465449438
andrichsfurt,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",346.97890883978
andrichsfurt,2014,prokopf,Summe,1699.7394337017
andrichsfurt,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",313.70561827957
andrichsfurt,2015,prokopf,Summe,1901.062688172
andrichsfurt,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",359.43818424566
andrichsfurt,2016,prokopf,Summe,2238.3789586115
andrichsfurt,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",385.35730870712
andrichsfurt,2017,prokopf,Summe,1803.6288126649
andrichsfurt,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",340.52488311688
andrichsfurt,2018,prokopf,Summe,2087.963974026
andrichsfurt,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",391.83624195624
andrichsfurt,2019,prokopf,Summe,2032.5838610039
ansfelden,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",360.51464941356
ansfelden,2007,prokopf,Summe,2030.3722883733
ansfelden,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",383.07251562699
ansfelden,2008,prokopf,Summe,2210.0220372496
ansfelden,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",491.82560997385
ansfelden,2009,prokopf,Summe,2447.8186454945
ansfelden,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",510.82399248264
ansfelden,2010,prokopf,Summe,2556.5426285277
ansfelden,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",397.10723737148
ansfelden,2011,prokopf,Summe,2439.7958803244
ansfelden,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",420.85720150924
ansfelden,2012,prokopf,Summe,2436.6131873121
ansfelden,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",435.97900483584
ansfelden,2013,prokopf,Summe,2443.830114533
ansfelden,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",454.38796653468
ansfelden,2014,prokopf,Summe,2459.4399182527
ansfelden,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",487.58662919219
ansfelden,2015,prokopf,Summe,2458.5786837618
ansfelden,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",613.30048120676
ansfelden,2016,prokopf,Summe,2606.4573577261
ansfelden,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",592.64517888307
ansfelden,2017,prokopf,Summe,2570.7595113438
ansfelden,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",584.25753797703
ansfelden,2018,prokopf,Summe,2666.2664091639
ansfelden,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",649.99692326168
ansfelden,2019,prokopf,Summe,2765.0753704816
antiesenhofen,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",260.09195229682
antiesenhofen,2007,prokopf,Summe,1470.2793727915
antiesenhofen,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",270.8745844504
antiesenhofen,2008,prokopf,Summe,1772.4154691689
antiesenhofen,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",267.89395907473
antiesenhofen,2009,prokopf,Summe,1796.1535320285
antiesenhofen,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",301.97830909091
antiesenhofen,2010,prokopf,Summe,1849.2982090909
antiesenhofen,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",324.83937728938
antiesenhofen,2011,prokopf,Summe,1874.734981685
antiesenhofen,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",306.92643054278
antiesenhofen,2012,prokopf,Summe,1761.7059429623
antiesenhofen,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",320.89237877402
antiesenhofen,2013,prokopf,Summe,1802.9367795059
antiesenhofen,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",391.82365601504
antiesenhofen,2014,prokopf,Summe,1878.8750469925
antiesenhofen,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",1730.7387145558
antiesenhofen,2015,prokopf,Summe,3508.3597448015
antiesenhofen,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",837.47436567164
antiesenhofen,2016,prokopf,Summe,2911.0368563433
antiesenhofen,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",601.16307974335
antiesenhofen,2017,prokopf,Summe,2202.5686067828
antiesenhofen,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",510.66490375802
antiesenhofen,2018,prokopf,Summe,2178.687928506
antiesenhofen,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",611.74772893773
antiesenhofen,2019,prokopf,Summe,2367.3399725275
arbing,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",313.4122689707
arbing,2007,prokopf,Summe,2848.5088880541
arbing,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",272.22904059041
arbing,2008,prokopf,Summe,3248.5845608856
arbing,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",268.64635371179
arbing,2009,prokopf,Summe,2318.3385152838
arbing,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",325.78608058608
arbing,2010,prokopf,Summe,2976.1181758242
arbing,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",329.24136904762
arbing,2011,prokopf,Summe,2376.3054910714
arbing,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",325.45221976401
arbing,2012,prokopf,Summe,2522.190560472
arbing,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",331.16140465793
arbing,2013,prokopf,Summe,2386.2394395924
arbing,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",747.73759650401
arbing,2014,prokopf,Summe,2835.1777713037
arbing,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",890.32900501074
arbing,2015,prokopf,Summe,3064.5873013601
arbing,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",560.75575609756
arbing,2016,prokopf,Summe,2759.7634494774
arbing,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",420.70805031447
arbing,2017,prokopf,Summe,2913.2986722572
arbing,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",506.78060165975
arbing,2018,prokopf,Summe,2505.5826694329
arbing,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",454.28370945946
arbing,2019,prokopf,Summe,2364.5357635135
arnreit,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",268.39336946703
arnreit,2007,prokopf,Summe,2629.1423757904
arnreit,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",245.00019434629
arnreit,2008,prokopf,Summe,2811.0262279152
